nodes,NLD
techs,wind_offshore
2050-01-01 00:00:00,0.8807
2050-01-01 01:00:00,0.8733
2050-01-01 02:00:00,0.8677
2050-01-01 03:00:00,0.8657
2050-01-01 04:00:00,0.8614
2050-01-01 05:00:00,0.8548
2050-01-01 06:00:00,0.8563
2050-01-01 07:00:00,0.8599
2050-01-01 08:00:00,0.8654
2050-01-01 09:00:00,0.8723
2050-01-01 10:00:00,0.8792
2050-01-01 11:00:00,0.886
2050-01-01 12:00:00,0.893
2050-01-01 13:00:00,0.8964
2050-01-01 14:00:00,0.8961
2050-01-01 15:00:00,0.8947
2050-01-01 16:00:00,0.8867
2050-01-01 17:00:00,0.8631
2050-01-01 18:00:00,0.824
2050-01-01 19:00:00,0.7895
2050-01-01 20:00:00,0.7564
2050-01-01 21:00:00,0.7141
2050-01-01 22:00:00,0.7067
2050-01-01 23:00:00,0.7816
2050-01-02 00:00:00,0.855
2050-01-02 01:00:00,0.89
2050-01-02 02:00:00,0.9003
2050-01-02 03:00:00,0.9006
2050-01-02 04:00:00,0.9031
2050-01-02 05:00:00,0.8663
2050-01-02 06:00:00,0.8543
2050-01-02 07:00:00,0.8367
2050-01-02 08:00:00,0.7782
2050-01-02 09:00:00,0.7477
2050-01-02 10:00:00,0.7202
2050-01-02 11:00:00,0.6964
2050-01-02 12:00:00,0.6288
2050-01-02 13:00:00,0.5917
2050-01-02 14:00:00,0.6651
2050-01-02 15:00:00,0.7683
2050-01-02 16:00:00,0.8553
2050-01-02 17:00:00,0.8793
2050-01-02 18:00:00,0.8575
2050-01-02 19:00:00,0.8406
2050-01-02 20:00:00,0.8221
2050-01-02 21:00:00,0.7788
2050-01-02 22:00:00,0.7354
2050-01-02 23:00:00,0.6716
2050-01-03 00:00:00,0.7181
2050-01-03 01:00:00,0.8057
2050-01-03 02:00:00,0.8286
2050-01-03 03:00:00,0.8517
2050-01-03 04:00:00,0.8855
2050-01-03 05:00:00,0.9058
2050-01-03 06:00:00,0.907
2050-01-03 07:00:00,0.8999
2050-01-03 08:00:00,0.8894
2050-01-03 09:00:00,0.8762
2050-01-03 10:00:00,0.8575
2050-01-03 11:00:00,0.8263
2050-01-03 12:00:00,0.7781
2050-01-03 13:00:00,0.7132
2050-01-03 14:00:00,0.6227
2050-01-03 15:00:00,0.5248
2050-01-03 16:00:00,0.4509
2050-01-03 17:00:00,0.429
2050-01-03 18:00:00,0.4425
2050-01-03 19:00:00,0.4644
2050-01-03 20:00:00,0.492
2050-01-03 21:00:00,0.5228
2050-01-03 22:00:00,0.5423
2050-01-03 23:00:00,0.5578
2050-01-04 00:00:00,0.5664
2050-01-04 01:00:00,0.5553
2050-01-04 02:00:00,0.5168
2050-01-04 03:00:00,0.4583
2050-01-04 04:00:00,0.4008
2050-01-04 05:00:00,0.3538
2050-01-04 06:00:00,0.3145
2050-01-04 07:00:00,0.2719
2050-01-04 08:00:00,0.2391
2050-01-04 09:00:00,0.1988
2050-01-04 10:00:00,0.1477
2050-01-04 11:00:00,0.0937
2050-01-04 12:00:00,0.0817
2050-01-04 13:00:00,0.1015
2050-01-04 14:00:00,0.1317
2050-01-04 15:00:00,0.187
2050-01-04 16:00:00,0.2434
2050-01-04 17:00:00,0.3236
2050-01-04 18:00:00,0.4073
2050-01-04 19:00:00,0.5132
2050-01-04 20:00:00,0.6146
2050-01-04 21:00:00,0.7106
2050-01-04 22:00:00,0.7868
2050-01-04 23:00:00,0.8297
2050-01-05 00:00:00,0.8529
2050-01-05 01:00:00,0.8625
2050-01-05 02:00:00,0.8606
2050-01-05 03:00:00,0.8539
2050-01-05 04:00:00,0.8317
2050-01-05 05:00:00,0.8125
2050-01-05 06:00:00,0.7898
2050-01-05 07:00:00,0.7446
2050-01-05 08:00:00,0.6965
2050-01-05 09:00:00,0.6547
2050-01-05 10:00:00,0.6296
2050-01-05 11:00:00,0.6345
2050-01-05 12:00:00,0.6546
2050-01-05 13:00:00,0.6846
2050-01-05 14:00:00,0.7133
2050-01-05 15:00:00,0.7262
2050-01-05 16:00:00,0.7331
2050-01-05 17:00:00,0.7461
2050-01-05 18:00:00,0.7641
2050-01-05 19:00:00,0.7788
2050-01-05 20:00:00,0.7839
2050-01-05 21:00:00,0.7849
2050-01-05 22:00:00,0.7788
2050-01-05 23:00:00,0.7675
2050-01-06 00:00:00,0.7584
2050-01-06 01:00:00,0.7586
2050-01-06 02:00:00,0.7692
2050-01-06 03:00:00,0.7843
2050-01-06 04:00:00,0.799
2050-01-06 05:00:00,0.809
2050-01-06 06:00:00,0.8117
2050-01-06 07:00:00,0.8093
2050-01-06 08:00:00,0.8021
2050-01-06 09:00:00,0.7936
2050-01-06 10:00:00,0.7904
2050-01-06 11:00:00,0.791
2050-01-06 12:00:00,0.7942
2050-01-06 13:00:00,0.798
2050-01-06 14:00:00,0.8013
2050-01-06 15:00:00,0.807
2050-01-06 16:00:00,0.8131
2050-01-06 17:00:00,0.8175
2050-01-06 18:00:00,0.8174
2050-01-06 19:00:00,0.8148
2050-01-06 20:00:00,0.8097
2050-01-06 21:00:00,0.8056
2050-01-06 22:00:00,0.8015
2050-01-06 23:00:00,0.7994
2050-01-07 00:00:00,0.8008
2050-01-07 01:00:00,0.8046
2050-01-07 02:00:00,0.8088
2050-01-07 03:00:00,0.8076
2050-01-07 04:00:00,0.8015
2050-01-07 05:00:00,0.7909
2050-01-07 06:00:00,0.7792
2050-01-07 07:00:00,0.7665
2050-01-07 08:00:00,0.7457
2050-01-07 09:00:00,0.7134
2050-01-07 10:00:00,0.6749
2050-01-07 11:00:00,0.6387
2050-01-07 12:00:00,0.6176
2050-01-07 13:00:00,0.6138
2050-01-07 14:00:00,0.6192
2050-01-07 15:00:00,0.623
2050-01-07 16:00:00,0.6227
2050-01-07 17:00:00,0.6244
2050-01-07 18:00:00,0.6339
2050-01-07 19:00:00,0.6518
2050-01-07 20:00:00,0.6741
2050-01-07 21:00:00,0.7073
2050-01-07 22:00:00,0.7462
2050-01-07 23:00:00,0.7779
2050-01-08 00:00:00,0.8012
2050-01-08 01:00:00,0.8127
2050-01-08 02:00:00,0.8144
2050-01-08 03:00:00,0.8143
2050-01-08 04:00:00,0.8158
2050-01-08 05:00:00,0.82
2050-01-08 06:00:00,0.8282
2050-01-08 07:00:00,0.8396
2050-01-08 08:00:00,0.8492
2050-01-08 09:00:00,0.8575
2050-01-08 10:00:00,0.8628
2050-01-08 11:00:00,0.8636
2050-01-08 12:00:00,0.8623
2050-01-08 13:00:00,0.8609
2050-01-08 14:00:00,0.8629
2050-01-08 15:00:00,0.868
2050-01-08 16:00:00,0.8739
2050-01-08 17:00:00,0.8766
2050-01-08 18:00:00,0.8761
2050-01-08 19:00:00,0.8737
2050-01-08 20:00:00,0.87
2050-01-08 21:00:00,0.862
2050-01-08 22:00:00,0.8493
2050-01-08 23:00:00,0.8343
2050-01-09 00:00:00,0.8177
2050-01-09 01:00:00,0.8013
2050-01-09 02:00:00,0.7833
2050-01-09 03:00:00,0.7652
2050-01-09 04:00:00,0.7496
2050-01-09 05:00:00,0.7355
2050-01-09 06:00:00,0.7217
2050-01-09 07:00:00,0.7048
2050-01-09 08:00:00,0.6834
2050-01-09 09:00:00,0.6575
2050-01-09 10:00:00,0.6275
2050-01-09 11:00:00,0.5931
2050-01-09 12:00:00,0.5707
2050-01-09 13:00:00,0.5693
2050-01-09 14:00:00,0.5808
2050-01-09 15:00:00,0.5755
2050-01-09 16:00:00,0.5532
2050-01-09 17:00:00,0.5322
2050-01-09 18:00:00,0.5163
2050-01-09 19:00:00,0.4949
2050-01-09 20:00:00,0.4627
2050-01-09 21:00:00,0.4339
2050-01-09 22:00:00,0.4097
2050-01-09 23:00:00,0.3844
2050-01-10 00:00:00,0.3588
2050-01-10 01:00:00,0.3412
2050-01-10 02:00:00,0.3374
2050-01-10 03:00:00,0.3542
2050-01-10 04:00:00,0.3858
2050-01-10 05:00:00,0.4251
2050-01-10 06:00:00,0.4607
2050-01-10 07:00:00,0.4893
2050-01-10 08:00:00,0.5089
2050-01-10 09:00:00,0.514
2050-01-10 10:00:00,0.5158
2050-01-10 11:00:00,0.5212
2050-01-10 12:00:00,0.5303
2050-01-10 13:00:00,0.5439
2050-01-10 14:00:00,0.5591
2050-01-10 15:00:00,0.5748
2050-01-10 16:00:00,0.5721
2050-01-10 17:00:00,0.5481
2050-01-10 18:00:00,0.5116
2050-01-10 19:00:00,0.4665
2050-01-10 20:00:00,0.4102
2050-01-10 21:00:00,0.342
2050-01-10 22:00:00,0.2791
2050-01-10 23:00:00,0.2466
2050-01-11 00:00:00,0.2589
2050-01-11 01:00:00,0.2774
2050-01-11 02:00:00,0.2763
2050-01-11 03:00:00,0.2987
2050-01-11 04:00:00,0.3829
2050-01-11 05:00:00,0.4592
2050-01-11 06:00:00,0.4863
2050-01-11 07:00:00,0.5054
2050-01-11 08:00:00,0.5366
2050-01-11 09:00:00,0.5758
2050-01-11 10:00:00,0.6081
2050-01-11 11:00:00,0.6396
2050-01-11 12:00:00,0.6777
2050-01-11 13:00:00,0.7191
2050-01-11 14:00:00,0.7488
2050-01-11 15:00:00,0.7494
2050-01-11 16:00:00,0.7298
2050-01-11 17:00:00,0.6965
2050-01-11 18:00:00,0.6534
2050-01-11 19:00:00,0.6147
2050-01-11 20:00:00,0.5805
2050-01-11 21:00:00,0.5471
2050-01-11 22:00:00,0.5235
2050-01-11 23:00:00,0.5289
2050-01-12 00:00:00,0.5709
2050-01-12 01:00:00,0.6339
2050-01-12 02:00:00,0.6979
2050-01-12 03:00:00,0.7504
2050-01-12 04:00:00,0.7834
2050-01-12 05:00:00,0.7952
2050-01-12 06:00:00,0.7903
2050-01-12 07:00:00,0.7855
2050-01-12 08:00:00,0.7825
2050-01-12 09:00:00,0.77
2050-01-12 10:00:00,0.7451
2050-01-12 11:00:00,0.717
2050-01-12 12:00:00,0.6809
2050-01-12 13:00:00,0.6491
2050-01-12 14:00:00,0.6283
2050-01-12 15:00:00,0.6239
2050-01-12 16:00:00,0.6185
2050-01-12 17:00:00,0.5919
2050-01-12 18:00:00,0.5438
2050-01-12 19:00:00,0.4808
2050-01-12 20:00:00,0.4387
2050-01-12 21:00:00,0.4453
2050-01-12 22:00:00,0.4786
2050-01-12 23:00:00,0.5302
2050-01-13 00:00:00,0.6114
2050-01-13 01:00:00,0.7057
2050-01-13 02:00:00,0.7789
2050-01-13 03:00:00,0.8176
2050-01-13 04:00:00,0.8324
2050-01-13 05:00:00,0.8313
2050-01-13 06:00:00,0.8177
2050-01-13 07:00:00,0.8034
2050-01-13 08:00:00,0.7945
2050-01-13 09:00:00,0.8005
2050-01-13 10:00:00,0.8061
2050-01-13 11:00:00,0.8044
2050-01-13 12:00:00,0.8029
2050-01-13 13:00:00,0.8095
2050-01-13 14:00:00,0.8184
2050-01-13 15:00:00,0.8254
2050-01-13 16:00:00,0.8309
2050-01-13 17:00:00,0.8446
2050-01-13 18:00:00,0.8559
2050-01-13 19:00:00,0.8596
2050-01-13 20:00:00,0.8595
2050-01-13 21:00:00,0.8539
