nodes,NLD
techs,demand_power
2050-01-01 00:00:00,31418.4175
2050-01-01 01:00:00,29843.6525
2050-01-01 02:00:00,29749.025
2050-01-01 03:00:00,29232.4025
2050-01-01 04:00:00,28347.2625
2050-01-01 05:00:00,29061.17
2050-01-01 06:00:00,30184.24
2050-01-01 07:00:00,28660.315
2050-01-01 08:00:00,28383.105
2050-01-01 09:00:00,28621.19
2050-01-01 10:00:00,27847.945
2050-01-01 11:00:00,27773.2575
2050-01-01 12:00:00,27704.845
2050-01-01 13:00:00,28706.785
2050-01-01 14:00:00,31098.34
2050-01-01 15:00:00,35270.3975
2050-01-01 16:00:00,36504.3975
2050-01-01 17:00:00,34321.135
2050-01-01 18:00:00,33246.8825
2050-01-01 19:00:00,32328.0225
2050-01-01 20:00:00,32504.82
2050-01-01 21:00:00,32946.5925
2050-01-01 22:00:00,32795.1575
2050-01-01 23:00:00,31795.1525
2050-01-02 00:00:00,30350.855
2050-01-02 01:00:00,24904.93
2050-01-02 02:00:00,22391.6925
2050-01-02 03:00:00,22722.625
2050-01-02 04:00:00,24393.205
2050-01-02 05:00:00,27846.3275
2050-01-02 06:00:00,31191.0825
2050-01-02 07:00:00,32992.2925
2050-01-02 08:00:00,35585.7775
2050-01-02 09:00:00,40925.1625
2050-01-02 10:00:00,47058.985
2050-01-02 11:00:00,52769.655
2050-01-02 12:00:00,53534.27
2050-01-02 13:00:00,51734.86
2050-01-02 14:00:00,46518.9525
2050-01-02 15:00:00,43141.315
2050-01-02 16:00:00,42571.39
2050-01-02 17:00:00,42996.055
2050-01-02 18:00:00,41066.4825
2050-01-02 19:00:00,40195.9025
2050-01-02 20:00:00,37126.45
2050-01-02 21:00:00,34242.04
2050-01-02 22:00:00,30366.8225
2050-01-02 23:00:00,27208.8425
2050-01-03 00:00:00,26907.5125
2050-01-03 01:00:00,26960.855
2050-01-03 02:00:00,26580.16
2050-01-03 03:00:00,27149.4025
2050-01-03 04:00:00,29864.14
2050-01-03 05:00:00,33629.165
2050-01-03 06:00:00,37155.285
2050-01-03 07:00:00,39547.41
2050-01-03 08:00:00,42073.9925
